activate torch environment
mlp Activated Successfully

20230520-04:28:44
running: cuda, 	epoch: 150, 	batch: 64, 	lr: 0.08
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 64, 128, 128]           1,792
              ReLU-2         [-1, 64, 128, 128]               0
            Conv2d-3         [-1, 64, 128, 128]          36,928
       BatchNorm2d-4         [-1, 64, 128, 128]             128
              ReLU-5         [-1, 64, 128, 128]               0
            Conv2d-6         [-1, 64, 128, 128]          36,928
       BatchNorm2d-7         [-1, 64, 128, 128]             128
              ReLU-8         [-1, 64, 128, 128]               0
            Conv2d-9         [-1, 64, 128, 128]          36,928
      BatchNorm2d-10         [-1, 64, 128, 128]             128
             ReLU-11         [-1, 64, 128, 128]               0
           Conv2d-12         [-1, 64, 128, 128]          36,928
      BatchNorm2d-13         [-1, 64, 128, 128]             128
             ReLU-14         [-1, 64, 128, 128]               0
           Conv2d-15         [-1, 64, 128, 128]          36,928
      BatchNorm2d-16         [-1, 64, 128, 128]             128
             ReLU-17         [-1, 64, 128, 128]               0
           Conv2d-18         [-1, 64, 128, 128]          36,928
      BatchNorm2d-19         [-1, 64, 128, 128]             128
             ReLU-20         [-1, 64, 128, 128]               0
           Conv2d-21         [-1, 64, 128, 128]          36,928
      BatchNorm2d-22         [-1, 64, 128, 128]             128
             ReLU-23         [-1, 64, 128, 128]               0
           Conv2d-24         [-1, 64, 128, 128]          36,928
      BatchNorm2d-25         [-1, 64, 128, 128]             128
             ReLU-26         [-1, 64, 128, 128]               0
           Conv2d-27         [-1, 64, 128, 128]          36,928
      BatchNorm2d-28         [-1, 64, 128, 128]             128
             ReLU-29         [-1, 64, 128, 128]               0
           Conv2d-30         [-1, 64, 128, 128]          36,928
      BatchNorm2d-31         [-1, 64, 128, 128]             128
             ReLU-32         [-1, 64, 128, 128]               0
           Conv2d-33         [-1, 64, 128, 128]          36,928
      BatchNorm2d-34         [-1, 64, 128, 128]             128
             ReLU-35         [-1, 64, 128, 128]               0
           Conv2d-36         [-1, 64, 128, 128]          36,928
      BatchNorm2d-37         [-1, 64, 128, 128]             128
             ReLU-38         [-1, 64, 128, 128]               0
           Conv2d-39         [-1, 64, 128, 128]          36,928
      BatchNorm2d-40         [-1, 64, 128, 128]             128
             ReLU-41         [-1, 64, 128, 128]               0
           Conv2d-42         [-1, 64, 128, 128]          36,928
      BatchNorm2d-43         [-1, 64, 128, 128]             128
             ReLU-44         [-1, 64, 128, 128]               0
           Conv2d-45         [-1, 64, 128, 128]          36,928
      BatchNorm2d-46         [-1, 64, 128, 128]             128
             ReLU-47         [-1, 64, 128, 128]               0
           Conv2d-48          [-1, 3, 128, 128]           1,731
================================================================
Total params: 559,363
Trainable params: 559,363
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.19
Forward/backward pass size (MB): 376.38
Params size (MB): 2.13
Estimated Total Size (MB): 378.70
----------------------------------------------------------------
None
모델 학습 시작
Time: 50초 	Epoch 1/150, 	Loss: 2.1270
Time: 49초 	Epoch 52/150, 	Loss: 0.0446
Time: 49초 	Epoch 53/150, 	Loss: 0.0450
Time: 49초 	Epoch 54/150, 	Loss: 0.0448
Time: 49초 	Epoch 55/150, 	Loss: 0.0450
Time: 49초 	Epoch 56/150, 	Loss: 0.0446
Time: 49초 	Epoch 57/150, 	Loss: 0.0452
Time: 49초 	Epoch 58/150, 	Loss: 0.0446
Time: 49초 	Epoch 59/150, 	Loss: 0.0446
Time: 49초 	Epoch 60/150, 	Loss: 0.0447
Time: 49초 	Epoch 61/150, 	Loss: 0.0449
Time: 49초 	Epoch 62/150, 	Loss: 0.0445
Time: 49초 	Epoch 63/150, 	Loss: 0.0451
Time: 49초 	Epoch 64/150, 	Loss: 0.0445
Time: 49초 	Epoch 65/150, 	Loss: 0.0445
Time: 49초 	Epoch 66/150, 	Loss: 0.0445
Time: 49초 	Epoch 67/150, 	Loss: 0.0451
Time: 49초 	Epoch 68/150, 	Loss: 0.0442
Time: 49초 	Epoch 69/150, 	Loss: 0.0450
Time: 49초 	Epoch 70/150, 	Loss: 0.0446
Time: 49초 	Epoch 71/150, 	Loss: 0.0454
Time: 49초 	Epoch 72/150, 	Loss: 0.0446
Time: 49초 	Epoch 73/150, 	Loss: 0.0443
Time: 49초 	Epoch 74/150, 	Loss: 0.0444
Time: 49초 	Epoch 75/150, 	Loss: 0.0450
Time: 49초 	Epoch 76/150, 	Loss: 0.0446
Time: 49초 	Epoch 77/150, 	Loss: 0.0455
Time: 49초 	Epoch 78/150, 	Loss: 0.0439
78epoch 모델 저장 완료
Time: 49초 	Epoch 79/150, 	Loss: 0.0445
Time: 49초 	Epoch 80/150, 	Loss: 0.0452
Time: 49초 	Epoch 81/150, 	Loss: 0.0459
Time: 49초 	Epoch 82/150, 	Loss: 0.0449
Time: 49초 	Epoch 83/150, 	Loss: 0.0442
Time: 49초 	Epoch 84/150, 	Loss: 0.0454
Time: 49초 	Epoch 85/150, 	Loss: 0.0444
Time: 49초 	Epoch 86/150, 	Loss: 0.0447
Time: 49초 	Epoch 87/150, 	Loss: 0.0451
Time: 49초 	Epoch 88/150, 	Loss: 0.0447
Time: 49초 	Epoch 89/150, 	Loss: 0.0447
Time: 49초 	Epoch 90/150, 	Loss: 0.0452
Time: 49초 	Epoch 91/150, 	Loss: 0.0449
Time: 49초 	Epoch 92/150, 	Loss: 0.0449
Time: 49초 	Epoch 93/150, 	Loss: 0.0448
Time: 49초 	Epoch 94/150, 	Loss: 0.0451
Time: 49초 	Epoch 95/150, 	Loss: 0.0443
Time: 49초 	Epoch 96/150, 	Loss: 0.0447
Time: 49초 	Epoch 97/150, 	Loss: 0.0447
Time: 49초 	Epoch 98/150, 	Loss: 0.0449
Time: 49초 	Epoch 99/150, 	Loss: 0.0451
Time: 49초 	Epoch 100/150, 	Loss: 0.0445
Time: 49초 	Epoch 101/150, 	Loss: 0.0446
Time: 49초 	Epoch 102/150, 	Loss: 0.0451
Time: 49초 	Epoch 103/150, 	Loss: 0.0445
Time: 49초 	Epoch 104/150, 	Loss: 0.0453
Time: 49초 	Epoch 105/150, 	Loss: 0.0451
Time: 49초 	Epoch 106/150, 	Loss: 0.0441
Time: 49초 	Epoch 107/150, 	Loss: 0.0450
Time: 49초 	Epoch 108/150, 	Loss: 0.0449
Time: 49초 	Epoch 109/150, 	Loss: 0.0444
Time: 49초 	Epoch 110/150, 	Loss: 0.0449
Time: 49초 	Epoch 111/150, 	Loss: 0.0444
Time: 49초 	Epoch 112/150, 	Loss: 0.0447
Time: 49초 	Epoch 113/150, 	Loss: 0.0450
Time: 49초 	Epoch 114/150, 	Loss: 0.0445
Time: 49초 	Epoch 115/150, 	Loss: 0.0448
Time: 49초 	Epoch 116/150, 	Loss: 0.0455
Time: 49초 	Epoch 117/150, 	Loss: 0.0450
Time: 49초 	Epoch 118/150, 	Loss: 0.0451
Time: 49초 	Epoch 119/150, 	Loss: 0.0445
Time: 49초 	Epoch 120/150, 	Loss: 0.0442
Time: 49초 	Epoch 121/150, 	Loss: 0.0450
Time: 49초 	Epoch 122/150, 	Loss: 0.0448
Time: 49초 	Epoch 123/150, 	Loss: 0.0451
Time: 49초 	Epoch 124/150, 	Loss: 0.0452
Time: 49초 	Epoch 125/150, 	Loss: 0.0447
Time: 49초 	Epoch 126/150, 	Loss: 0.0449
Time: 49초 	Epoch 127/150, 	Loss: 0.0449
Time: 49초 	Epoch 128/150, 	Loss: 0.0450
Time: 49초 	Epoch 129/150, 	Loss: 0.0446
Time: 49초 	Epoch 130/150, 	Loss: 0.0450
Time: 49초 	Epoch 131/150, 	Loss: 0.0450
Time: 49초 	Epoch 132/150, 	Loss: 0.0444
Time: 49초 	Epoch 133/150, 	Loss: 0.0447
Time: 49초 	Epoch 134/150, 	Loss: 0.0446
Time: 49초 	Epoch 135/150, 	Loss: 0.0450
Time: 49초 	Epoch 136/150, 	Loss: 0.0450
Time: 49초 	Epoch 137/150, 	Loss: 0.0444
Time: 49초 	Epoch 138/150, 	Loss: 0.0451
Time: 49초 	Epoch 139/150, 	Loss: 0.0446
Time: 49초 	Epoch 140/150, 	Loss: 0.0452
Time: 49초 	Epoch 141/150, 	Loss: 0.0453
Time: 49초 	Epoch 142/150, 	Loss: 0.0443
Time: 49초 	Epoch 143/150, 	Loss: 0.6195
Time: 49초 	Epoch 144/150, 	Loss: 0.0446
Time: 49초 	Epoch 145/150, 	Loss: 0.0439
145epoch 모델 저장 완료
Time: 49초 	Epoch 146/150, 	Loss: 0.0445
Time: 49초 	Epoch 147/150, 	Loss: 0.0448
Time: 49초 	Epoch 148/150, 	Loss: 0.0441
Time: 49초 	Epoch 149/150, 	Loss: 0.0447
Time: 49초 	Epoch 150/150, 	Loss: 0.0445
훈련 소요 시간: 2시간 2분 53초
done
